# step  kinetic   potential   total
       0      16.500264       0.033202      16.533467
     100       5.295151      11.239010      16.534160
     200       9.738353       6.795400      16.533753
     300       8.712235       7.821574      16.533809
     400       7.055306       9.478693      16.533998
     500       9.489384       7.044361      16.533745
     600       7.899453       8.634431      16.533884
     700       7.405622       9.128320      16.533942
     800       9.546148       6.987589      16.533737
     900       7.094739       9.439212      16.533951
    1000       8.398573       8.135288      16.533860
    1100       9.157375       7.376413      16.533788
    1200       7.601964       8.931983      16.533947
    1300       8.640984       7.892842      16.533827
    1400       8.677189       7.856632      16.533821
    1500       7.219980       9.313972      16.533952
    1600       9.062238       7.471541      16.533778
    1700       7.577673       8.956215      16.533888
    1800       7.689745       8.844161      16.533907
    1900       9.106513       7.427271      16.533784
    2000       7.597380       8.936532      16.533912
