 # H    M
 -3.0000   -0.972467
 -2.5000   -0.960042
 -2.0000   -0.940979
 -1.5000   -0.909550
 -1.0000   -0.850108
 -0.5000   -0.705706
  0.0000    0.000575
  0.5000    0.704105
  1.0000    0.850573
  1.5000    0.909516
  2.0000    0.941154
  2.5000    0.960263
  3.0000    0.972559
  2.5000    0.960162
  2.0000    0.941077
  1.5000    0.909621
  1.0000    0.850268
  0.5000    0.705634
  0.0000    0.000166
 -0.5000   -0.703753
 -1.0000   -0.850943
 -1.5000   -0.909919
 -2.0000   -0.941148
 -2.5000   -0.960123
 -3.0000   -0.972613
