 # H    M
 -3.0000   -0.999127
 -2.9000   -0.998942
 -2.8000   -0.998723
 -2.7000   -0.998460
 -2.6000   -0.998184
 -2.5000   -0.997842
 -2.4000   -0.997513
 -2.3000   -0.997183
 -2.2000   -0.996702
 -2.1000   -0.996284
 -2.0000   -0.995709
 -1.9000   -0.995156
 -1.8000   -0.994473
 -1.7000   -0.993658
 -1.6000   -0.992831
 -1.5000   -0.991873
 -1.4000   -0.990746
 -1.3000   -0.989567
 -1.2000   -0.988223
 -1.1000   -0.986555
 -1.0000   -0.984724
 -0.9000   -0.982714
 -0.8000   -0.980085
 -0.7000   -0.977307
 -0.6000   -0.973764
 -0.5000   -0.969454
 -0.4000   -0.964476
 -0.3000   -0.957850
 -0.2000   -0.949027
 -0.1000   -0.936138
  0.0000   -0.913364
  0.1000    0.839871
  0.2000    0.949272
  0.3000    0.957649
  0.4000    0.964322
  0.5000    0.969478
  0.6000    0.973831
  0.7000    0.976987
  0.8000    0.980282
  0.9000    0.982656
  1.0000    0.984763
  1.1000    0.986572
  1.2000    0.988264
  1.3000    0.989579
  1.4000    0.990736
  1.5000    0.991835
  1.6000    0.992842
  1.7000    0.993685
  1.8000    0.994507
  1.9000    0.995147
  2.0000    0.995639
  2.1000    0.996250
  2.2000    0.996736
  2.3000    0.997155
  2.4000    0.997504
  2.5000    0.997936
  2.6000    0.998148
  2.7000    0.998485
  2.8000    0.998744
  2.9000    0.998920
  3.0000    0.999136
  2.9000    0.998905
  2.8000    0.998773
  2.7000    0.998462
  2.6000    0.998222
  2.5000    0.997861
  2.4000    0.997531
  2.3000    0.997167
  2.2000    0.996699
  2.1000    0.996286
  2.0000    0.995692
  1.9000    0.995138
  1.8000    0.994387
  1.7000    0.993756
  1.6000    0.992810
  1.5000    0.992018
  1.4000    0.990805
  1.3000    0.989537
  1.2000    0.988217
  1.1000    0.986617
  1.0000    0.984670
  0.9000    0.982640
  0.8000    0.980139
  0.7000    0.977221
  0.6000    0.973804
  0.5000    0.969467
  0.4000    0.964332
  0.3000    0.957904
  0.2000    0.948751
  0.1000    0.936636
  0.0000    0.911702
 -0.1000   -0.851872
 -0.2000   -0.949122
 -0.3000   -0.957563
 -0.4000   -0.964347
 -0.5000   -0.969493
 -0.6000   -0.973774
 -0.7000   -0.977203
 -0.8000   -0.980191
 -0.9000   -0.982641
 -1.0000   -0.984682
 -1.1000   -0.986542
 -1.2000   -0.988123
 -1.3000   -0.989657
 -1.4000   -0.990841
 -1.5000   -0.991946
 -1.6000   -0.992894
 -1.7000   -0.993715
 -1.8000   -0.994517
 -1.9000   -0.995122
 -2.0000   -0.995790
 -2.1000   -0.996253
 -2.2000   -0.996733
 -2.3000   -0.997129
 -2.4000   -0.997521
 -2.5000   -0.997890
 -2.6000   -0.998188
 -2.7000   -0.998472
 -2.8000   -0.998715
 -2.9000   -0.998935
 -3.0000   -0.999128
